Current,Voltage,Temperature,SOC,SOC_Estimate
14.8733,3.75514,300,0.522377,0.577676
15.0503,3.93227,300,0.522531,0.577187
15.1232,4.00528,300,0.522685,0.577408
14.9824,3.86463,300,0.522839,0.577915
15.001,3.88346,300,0.522994,0.577859
15.1949,4.07746,300,0.523148,0.577879
14.9802,3.8629,300,0.523302,0.578665
15.018,3.90092,300,0.523457,0.578594
15.0756,3.95864,300,0.523611,0.578674
14.9129,3.79608,300,0.523765,0.578983
15.0282,3.9116,300,0.52392,0.578644
15.115,3.99852,300,0.524074,0.578768
15.0426,3.92628,300,0.524228,0.579234
15.0209,3.90475,300,0.524383,0.57941
14.8385,3.72247,300,0.524537,0.579498
14.8875,3.77171,300,0.524691,0.578866
14.7953,3.67966,300,0.524846,0.57844
14.9002,3.78469,300,0.525,0.577663
15.0325,3.91713,300,0.525154,0.57731
14.9933,3.8781,300,0.525309,0.577478
14.9029,3.78783,300,0.525463,0.577492
15.2418,4.12689,300,0.525617,0.577157
14.9411,3.82633,300,0.525772,0.578138
15.007,3.89245,300,0.525926,0.577943
15.0003,3.88588,300,0.52608,0.578008
15.0176,3.90338,300,0.526235,0.578046
15.0872,3.97308,300,0.526389,0.578153
14.7728,3.65889,300,0.526543,0.578528
14.8461,3.73233,300,0.526698,0.57768
14.8308,3.71716,300,0.526852,0.577133
15.0387,3.92522,300,0.527006,0.576537
14.9985,3.88523,300,0.52716,0.576749
14.9982,3.88499,300,0.527315,0.576805
15.0064,3.89337,300,0.527469,0.576859
15.1124,3.99953,300,0.527623,0.576945
14.9623,3.8496,300,0.527778,0.577435
14.8364,3.72388,300,0.527932,0.577346
14.8945,3.7821,300,0.528086,0.576776
14.885,3.7728,300,0.528241,0.57644
14.8655,3.75341,300,0.528395,0.576074
15.0075,3.89558,300,0.528549,0.57564
14.8432,3.73145,300,0.528704,0.575751
14.9725,3.86086,300,0.528858,0.575241
15.1354,4.02398,300,0.529012,0.575226
14.8748,3.76348,300,0.529167,0.575825
14.9614,3.85025,300,0.529321,0.575434
14.9001,3.78908,300,0.529475,0.575376
14.8852,3.77437,300,0.52963,0.575089
15.1416,4.03094,300,0.529784,0.574751
14.9327,3.82219,300,0.529938,0.575378
14.8761,3.76579,300,0.530093,0.575215
14.8832,3.77295,300,0.530247,0.574843
14.9224,3.81237,300,0.530401,0.574504
15.0183,3.90839,300,0.530556,0.574317
